system1lib                     ;NEWTYPE
dhandlerlib                    ;MOVEA
* unused ID2 *                 ;
* unused ID3 *                 ;
Xbaudiolib                     ;XBDiskPlay
* unused ID5 *                 ;
stringfunclib                  ;Left$
* unused ID7 *                 ;
EFMUILib                       ;MUIObject
BDGfxLib                       ;FindColor
BDChunkyLib                    ;NChunky
Ricopperfxlib                  ;DoColSplit
* unused ID12 *                ;
Risortlib                      ;StringSort
Ricompactdisklib               ;OpenCD
Mildred                        ;MWrapXParticles
MiniMildred                    ;MNothing
Ristonecrackerlib              ;STCLength
Ristcdecrunchlib               ;STCDecrunch
* unused ID19 *                ;
dbaselib                       ;Database
crc                            ;Crcbuf
LotanString                    ;StrLen
Rwemathlib                     ;UPeek
PPaintLib                      ;TxtPos
Ridatatypeslib                 ;DataTypeOpen
taglistlib                     ;TagList
* unused ID27 *                ;
* unused ID28 *                ;
* unused ID29 *                ;
chooser.gadget1                ;CHOOSER_GetClass_
* unused ID31 *                ;
* unused ID32 *                ;
Ridoslib                       ;AddNotify
* unused ID34 *                ;
Rinonvolatilelib               ;IsNonvolatile
Rifastseriallib                ;InitSerialIO
Rigtmenulib                    ;GTMenuList
* unused ID38 *                ;
gameiolib                      ;Joyx
strport                        ;LED_On
nfile                          ;NOpenFile
wizard.library1                ;WZ_OpenSurfaceA_
algebralib                     ;Random1
mathtranslib                   ;ACos
Risoundlib                     ;CludgeSound
Rishapeslib                    ;CludgeShapes
Rimisclib                      ;TimerReset
ptplayerlib                    ;MTInit
Rilesdebuglib                  ;D_FindVolume
Ridisasm                       ;DisAssemble$
Ridebuglib                     ;AddVarTrace
Riencryptlib                   ;Encrypt
* unused ID53 *                ;
NeilsReqToolsLib               ;RTEZRequest
NeilsIndicatorLib              ;PICreateRequest
Xbciatrackerlib                ;LoadTrackerModule
Rianimlib                      ;RIAnimInit
* unused ID58 *                ;
Ritooltypeslib                 ;GetIconObject
EMLLib                         ;PlayPTModule
Riapplib                       ;AddAppWindow
AaronsIconLib                  ;IconInfo
* unused ID63 *                ;
